"",ID,Imagen,Objeto,Filtro,Fecha,Estrella,Brillo,Tamano,Brillo maximo correspondiente,Promedio correspondiente,Max_brillo_fecha,Min_brillo_fecha,Brillo relativo,Error correspondiente
0,1,28feb0030o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,A,699898.0,5.66,1179000.0,504252.0,699898.0,568078.0,0.593637,0.261417
1,2,28feb0030o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,B,602852.0,5.61,1179000.0,451706.0,602852.0,453174.0,0.511325,0.331362
2,3,28feb0030o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,C,363801.0,5.74,1179000.0,272244.0,363801.0,273646.0,0.308567,0.331155
4,5,28feb0031o.fits,PG1323-086,V-Johnson+Vacio,2017-02-28,A,542717.0,5.16,632160.0,587784.0,542717.0,516281.0,0.858512,0.044976
6,7,28feb0031o.fits,PG1323-086,V-Johnson+Vacio,2017-02-28,C,362735.0,5.08,632160.0,1436190.0,362735.0,342224.0,0.573803,0.014282
7,8,28feb0031o.fits,PG1323-086,V-Johnson+Vacio,2017-02-28,2R,581439.0,5.16,632160.0,658042.0,581439.0,547580.0,0.919766,0.051454
8,9,28feb0032o.fits,PG1323-086,R-Johnson+Vacio,2017-02-28,A,438220.0,5.00,595406.0,439463.0,438220.0,422944.0,0.736002,0.034761
10,11,28feb0032o.fits,PG1323-086,R-Johnson+Vacio,2017-02-28,C,332373.0,4.76,595406.0,349305.0,332373.0,319899.0,0.558229,0.035711
11,12,28feb0032o.fits,PG1323-086,R-Johnson+Vacio,2017-02-28,2R,360319.0,4.87,595406.0,377272.0,360319.0,349054.0,0.605165,0.029859
12,13,28feb0033o.fits,PG1323-086,I-Johnson+Vacio,2017-02-28,A,408377.0,4.56,639512.0,608821.0,408377.0,400382.0,0.638576,0.013132
14,15,28feb0033o.fits,PG1323-086,I-Johnson+Vacio,2017-02-28,C,349746.0,4.41,639512.0,299741.0,349746.0,338804.0,0.546895,0.036505
15,16,28feb0033o.fits,PG1323-086,I-Johnson+Vacio,2017-02-28,2R,244836.0,4.66,639512.0,212157.0,244836.0,242803.0,0.382848,0.009583
16,17,28feb0051o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,A,664593.0,4.69,1090000.0,504252.0,699898.0,568078.0,0.609718,0.261417
17,18,28feb0051o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,B,559314.0,4.66,1090000.0,451706.0,602852.0,453174.0,0.513132,0.331362
18,19,28feb0051o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,C,333972.0,4.65,1090000.0,272244.0,363801.0,273646.0,0.306396,0.331155
20,21,28feb0052o.fits,PG1323-086,V-Johnson+Vacio,2017-02-28,A,516281.0,4.67,599452.0,587784.0,542717.0,516281.0,0.861255,0.044976
22,23,28feb0052o.fits,PG1323-086,V-Johnson+Vacio,2017-02-28,C,342224.0,4.62,599452.0,1436190.0,362735.0,342224.0,0.570895,0.014282
23,24,28feb0052o.fits,PG1323-086,V-Johnson+Vacio,2017-02-28,2R,547580.0,4.58,599452.0,658042.0,581439.0,547580.0,0.913468,0.051454
24,25,28feb0053o.fits,PG1323-086,R-Johnson+Vacio,2017-02-28,A,422944.0,4.73,568627.0,439463.0,438220.0,422944.0,0.743799,0.034761
26,27,28feb0053o.fits,PG1323-086,R-Johnson+Vacio,2017-02-28,C,319899.0,4.66,568627.0,349305.0,332373.0,319899.0,0.562581,0.035711
27,28,28feb0053o.fits,PG1323-086,R-Johnson+Vacio,2017-02-28,2R,349054.0,4.70,568627.0,377272.0,360319.0,349054.0,0.613854,0.029859
28,29,28feb0054o.fits,PG1323-086,I-Johnson+Vacio,2017-02-28,A,400382.0,3.68,627706.0,608821.0,408377.0,400382.0,0.637850,0.013132
30,31,28feb0054o.fits,PG1323-086,I-Johnson+Vacio,2017-02-28,C,338804.0,3.61,627706.0,299741.0,349746.0,338804.0,0.539750,0.036505
31,32,28feb0054o.fits,PG1323-086,I-Johnson+Vacio,2017-02-28,2R,242803.0,3.48,627706.0,212157.0,244836.0,242803.0,0.386810,0.009583
32,33,01mar0076o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,A,568078.0,5.02,895254.0,504252.0,699898.0,568078.0,0.634544,0.261417
33,34,01mar0076o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,B,453174.0,5.03,895254.0,451706.0,602852.0,453174.0,0.506196,0.331362
34,35,01mar0076o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,C,273646.0,4.92,895254.0,272244.0,363801.0,273646.0,0.305663,0.331155
36,37,01mar0077o.fits,PG1323-086,V-Johnson+Vacio,2017-03-01,A,777411.0,5.04,842880.0,587784.0,777411.0,514726.0,0.922327,0.446907
38,39,01mar0077o.fits,PG1323-086,V-Johnson+Vacio,2017-03-01,C,484356.0,5.04,842880.0,1436190.0,4555460.0,484356.0,0.574644,2.834656
39,40,01mar0077o.fits,PG1323-086,V-Johnson+Vacio,2017-03-01,2R,780994.0,5.08,842880.0,658042.0,780994.0,722155.0,0.926578,0.089415
40,41,01mar0078o.fits,PG1323-086,R-Johnson+Vacio,2017-03-01,A,709928.0,5.04,886728.0,439463.0,709928.0,482062.0,0.800615,0.518510
42,43,01mar0078o.fits,PG1323-086,R-Johnson+Vacio,2017-03-01,C,503031.0,4.72,886728.0,349305.0,503031.0,479830.0,0.567289,0.066420
43,44,01mar0078o.fits,PG1323-086,R-Johnson+Vacio,2017-03-01,2R,541655.0,5.00,886728.0,377272.0,541655.0,519642.0,0.610847,0.058348
44,45,01mar0079o.fits,PG1323-086,I-Johnson+Vacio,2017-03-01,A,437577.0,4.72,632547.0,608821.0,437577.0,306135.0,0.691770,0.215896
46,47,01mar0079o.fits,PG1323-086,I-Johnson+Vacio,2017-03-01,C,349523.0,5.00,632547.0,299741.0,349523.0,333366.0,0.552564,0.053903
47,48,01mar0079o.fits,PG1323-086,I-Johnson+Vacio,2017-03-01,2R,248241.0,5.04,632547.0,212157.0,248241.0,236898.0,0.392447,0.053465
48,49,01mar0097o.fits,PG1323-086,B-Johnson+Vacio,2017-03-01,A,477144.0,5.66,1058000.0,504252.0,477144.0,477144.0,0.450987,0.000000
49,50,01mar0097o.fits,PG1323-086,B-Johnson+Vacio,2017-03-01,B,549282.0,5.57,1058000.0,451706.0,549282.0,549282.0,0.519170,0.000000
50,51,01mar0097o.fits,PG1323-086,B-Johnson+Vacio,2017-03-01,C,330456.0,5.55,1058000.0,272244.0,330456.0,330456.0,0.312340,0.000000
52,53,01mar0098o.fits,PG1323-086,V-Johnson+Vacio,2017-03-01,A,514726.0,5.24,4555460.0,587784.0,777411.0,514726.0,0.112991,0.446907
53,54,01mar0098o.fits,PG1323-086,V-Johnson+Vacio,2017-03-01,B,780472.0,5.14,4555460.0,713741.0,842880.0,780472.0,0.171327,0.087438
55,56,01mar0098o.fits,PG1323-086,V-Johnson+Vacio,2017-03-01,2R,722155.0,5.23,4555460.0,658042.0,780994.0,722155.0,0.158525,0.089415
56,57,01mar0099o.fits,PG1323-086,R-Johnson+Vacio,2017-03-01,A,482062.0,4.87,841389.0,439463.0,709928.0,482062.0,0.572936,0.518510
58,59,01mar0099o.fits,PG1323-086,R-Johnson+Vacio,2017-03-01,C,479830.0,4.94,841389.0,349305.0,503031.0,479830.0,0.570283,0.066420
59,60,01mar0099o.fits,PG1323-086,R-Johnson+Vacio,2017-03-01,2R,519642.0,4.88,841389.0,377272.0,541655.0,519642.0,0.617600,0.058348
60,61,01mar0100o.fits,PG1323-086,I-Johnson+Vacio,2017-03-01,A,306135.0,4.48,612560.0,608821.0,437577.0,306135.0,0.499763,0.215896
62,63,01mar0100o.fits,PG1323-086,I-Johnson+Vacio,2017-03-01,C,333366.0,4.46,612560.0,299741.0,349523.0,333366.0,0.544218,0.053903
63,64,01mar0100o.fits,PG1323-086,I-Johnson+Vacio,2017-03-01,2R,236898.0,4.40,612560.0,212157.0,248241.0,236898.0,0.386734,0.053465
64,65,28feb0021o.fits,PG0918+029,I-Johnson+Vacio,2017-02-28,A,95802.0,5.02,1118000.0,88475.5,95802.0,95802.0,0.085691,0.000000
65,66,28feb0021o.fits,PG0918+029,I-Johnson+Vacio,2017-02-28,B,175764.0,4.86,1118000.0,162304.0,175764.0,175764.0,0.157213,0.000000
66,67,28feb0021o.fits,PG0918+029,I-Johnson+Vacio,2017-02-28,C,239130.0,5.03,1118000.0,220580.0,239130.0,239130.0,0.213891,0.000000
68,69,28feb0021o.fits,PG0918+029,I-Johnson+Vacio,2017-02-28,2R,113119.0,4.90,1118000.0,103600.0,113119.0,113119.0,0.101180,0.000000
69,70,28feb0022o.fits,PG0918+029,R-Johnson+Vacio,2017-02-28,A,121045.0,4.76,1172000.0,129644.0,121045.0,121045.0,0.103281,0.000000
70,71,28feb0022o.fits,PG0918+029,R-Johnson+Vacio,2017-02-28,B,216770.0,4.93,1172000.0,230771.0,216770.0,216770.0,0.184957,0.000000
71,72,28feb0022o.fits,PG0918+029,R-Johnson+Vacio,2017-02-28,C,297821.0,4.61,1172000.0,319049.0,297821.0,297821.0,0.254113,0.000000
73,74,28feb0022o.fits,PG0918+029,R-Johnson+Vacio,2017-02-28,2R,234217.0,4.70,1172000.0,249818.0,234217.0,234217.0,0.199844,0.000000
74,75,28feb0023o.fits,PG0918+029,V-Johnson+Vacio,2017-02-28,A,142780.0,5.03,1085000.0,97901.0,142780.0,142780.0,0.131594,0.000000
75,76,28feb0023o.fits,PG0918+029,V-Johnson+Vacio,2017-02-28,B,232772.0,4.97,1085000.0,160142.0,232772.0,232772.0,0.214536,0.000000
76,77,28feb0023o.fits,PG0918+029,V-Johnson+Vacio,2017-02-28,C,339772.0,4.98,1085000.0,234079.0,339772.0,339772.0,0.313154,0.000000
78,79,28feb0023o.fits,PG0918+029,V-Johnson+Vacio,2017-02-28,2R,411461.0,4.94,1085000.0,283239.0,411461.0,411461.0,0.379227,0.000000
79,80,28feb0024o.fits,PG0918+029,B-Johnson+Vacio,2017-02-28,A,20927.0,5.14,1203000.0,105770.0,20927.0,20927.0,0.017396,0.000000
80,81,28feb0024o.fits,PG0918+029,B-Johnson+Vacio,2017-02-28,B,283666.0,5.18,1203000.0,272008.0,283666.0,283666.0,0.235799,0.000000
81,82,28feb0024o.fits,PG0918+029,B-Johnson+Vacio,2017-02-28,C,454675.0,5.15,1203000.0,438145.0,454675.0,454675.0,0.377951,0.000000
82,83,28feb0024o.fits,PG0918+029,B-Johnson+Vacio,2017-02-28,D,1044000.0,5.20,1203000.0,1004010.0,1044000.0,1044000.0,0.867830,0.000000
84,85,01mar0037o.fits,PG0918+029,B-Johnson+Vacio,2017-03-01,A,190612.0,5.28,1095000.0,105770.0,190612.0,190612.0,0.174075,0.000000
85,86,01mar0037o.fits,PG0918+029,B-Johnson+Vacio,2017-03-01,B,260350.0,5.20,1095000.0,272008.0,260350.0,260350.0,0.237763,0.000000
86,87,01mar0037o.fits,PG0918+029,B-Johnson+Vacio,2017-03-01,C,421615.0,5.11,1095000.0,438145.0,421615.0,421615.0,0.385037,0.000000
87,88,01mar0037o.fits,PG0918+029,B-Johnson+Vacio,2017-03-01,D,964017.0,5.08,1095000.0,1004010.0,964017.0,964017.0,0.880381,0.000000
89,90,01mar0038o.fits,PG0918+029,V-Johnson+Vacio,2017-03-01,A,150923.0,5.51,1164000.0,97901.0,150923.0,0.0,0.129659,1.541588
90,91,01mar0038o.fits,PG0918+029,V-Johnson+Vacio,2017-03-01,B,247655.0,5.53,1164000.0,160142.0,247655.0,0.0,0.212762,1.546471
91,92,01mar0038o.fits,PG0918+029,V-Johnson+Vacio,2017-03-01,C,362466.0,5.45,1164000.0,234079.0,362466.0,0.0,0.311397,1.548477
93,94,01mar0038o.fits,PG0918+029,V-Johnson+Vacio,2017-03-01,2R,438257.0,5.39,1164000.0,283239.0,438257.0,0.0,0.376509,1.547305
94,95,01mar0039o.fits,PG0918+029,R-Johnson+Vacio,2017-03-01,A,138244.0,5.48,1341000.0,129644.0,138244.0,138244.0,0.103090,0.000000
95,96,01mar0039o.fits,PG0918+029,R-Johnson+Vacio,2017-03-01,B,244772.0,5.45,1341000.0,230771.0,244772.0,244772.0,0.182529,0.000000
96,97,01mar0039o.fits,PG0918+029,R-Johnson+Vacio,2017-03-01,C,340277.0,5.48,1341000.0,319049.0,340277.0,340277.0,0.253749,0.000000
98,99,01mar0039o.fits,PG0918+029,R-Johnson+Vacio,2017-03-01,2R,265418.0,5.50,1341000.0,249818.0,265418.0,265418.0,0.197925,0.000000
99,100,01mar0040o.fits,PG0918+029,I-Johnson+Vacio,2017-03-01,A,81149.0,4.76,947734.0,88475.5,81149.0,81149.0,0.085624,0.000000
100,101,01mar0040o.fits,PG0918+029,I-Johnson+Vacio,2017-03-01,B,148844.0,4.74,947734.0,162304.0,148844.0,148844.0,0.157053,0.000000
101,102,01mar0040o.fits,PG0918+029,I-Johnson+Vacio,2017-03-01,C,202031.0,4.90,947734.0,220580.0,202031.0,202031.0,0.213173,0.000000
103,104,01mar0040o.fits,PG0918+029,I-Johnson+Vacio,2017-03-01,2R,94082.0,4.83,947734.0,103600.0,94082.0,94082.0,0.099270,0.000000
104,105,01mar0041o.fits,PG0918+029,V-Johnson+Vacio,2017-03-01,A,0.0,0.00,0.0,97901.0,150923.0,0.0,NaN,1.541588
105,106,01mar0041o.fits,PG0918+029,V-Johnson+Vacio,2017-03-01,B,0.0,0.00,0.0,160142.0,247655.0,0.0,NaN,1.546471
106,107,01mar0041o.fits,PG0918+029,V-Johnson+Vacio,2017-03-01,C,0.0,0.00,0.0,234079.0,362466.0,0.0,NaN,1.548477
107,108,01mar0041o.fits,PG0918+029,V-Johnson+Vacio,2017-03-01,D,0.0,0.00,0.0,749667.0,1164000.0,0.0,NaN,1.552689
108,109,01mar0041o.fits,PG0918+029,V-Johnson+Vacio,2017-03-01,2R,0.0,0.00,0.0,283239.0,438257.0,0.0,NaN,1.547305
109,110,01mar0033o.fits,RU149,V-Johnson+Vacio,2017-03-01,A,102676.0,5.19,1746000.0,97072.5,102676.0,91469.0,0.058806,0.115450
110,111,01mar0033o.fits,RU149,V-Johnson+Vacio,2017-03-01,B,597999.0,5.04,1746000.0,564252.0,597999.0,530506.0,0.342497,0.119615
111,112,01mar0033o.fits,RU149,V-Johnson+Vacio,2017-03-01,C,114476.0,5.06,1746000.0,108428.0,114476.0,102380.0,0.065565,0.111558
113,114,01mar0033o.fits,RU149,V-Johnson+Vacio,2017-03-01,E,221886.0,5.04,1746000.0,209954.0,221886.0,198021.0,0.127082,0.113668
114,115,01mar0033o.fits,RU149,V-Johnson+Vacio,2017-03-01,F,276740.0,5.07,1746000.0,261822.0,276740.0,246905.0,0.158499,0.113951
115,116,01mar0033o.fits,RU149,V-Johnson+Vacio,2017-03-01,G,498396.0,4.95,1746000.0,469182.0,498396.0,439969.0,0.285450,0.124530
116,117,01mar0033o.fits,RU149,V-Johnson+Vacio,2017-03-01,149,191943.0,5.05,1746000.0,181562.0,191943.0,171182.0,0.109933,0.114347
117,118,01mar0034o.fits,RU149,R-Johnson+Vacio,2017-03-01,A,81934.0,4.40,1218000.0,57289.3,81934.0,76582.0,0.067269,0.093421
118,119,01mar0034o.fits,RU149,R-Johnson+Vacio,2017-03-01,B,572967.0,4.31,1218000.0,458084.0,572967.0,527851.0,0.470416,0.098488
119,120,01mar0034o.fits,RU149,R-Johnson+Vacio,2017-03-01,C,87273.0,4.46,1218000.0,68148.2,87273.0,79852.0,0.071653,0.108895
121,122,01mar0034o.fits,RU149,R-Johnson+Vacio,2017-03-01,E,204872.0,4.36,1218000.0,159312.0,204872.0,189154.0,0.168204,0.098662
122,123,01mar0034o.fits,RU149,R-Johnson+Vacio,2017-03-01,F,325350.0,4.48,1218000.0,252618.0,325350.0,298547.0,0.267118,0.106101
123,124,01mar0034o.fits,RU149,R-Johnson+Vacio,2017-03-01,G,458069.0,4.41,1218000.0,347955.0,458069.0,418086.0,0.376083,0.114909
124,125,01mar0034o.fits,RU149,R-Johnson+Vacio,2017-03-01,149,126721.0,4.50,1218000.0,96594.2,126721.0,116396.0,0.104040,0.106890
125,126,01mar0035o.fits,RU149,I-Johnson+Vacio,2017-03-01,A,68348.0,4.72,842902.0,63014.8,68348.0,64764.0,0.081087,0.056876
126,127,01mar0035o.fits,RU149,I-Johnson+Vacio,2017-03-01,B,548398.0,4.80,842902.0,492358.0,548398.0,515641.0,0.650607,0.066531
127,128,01mar0035o.fits,RU149,I-Johnson+Vacio,2017-03-01,C,68200.0,4.73,842902.0,62955.2,68200.0,63849.0,0.080911,0.069113
129,130,01mar0035o.fits,RU149,I-Johnson+Vacio,2017-03-01,E,189443.0,4.85,842902.0,171952.0,189443.0,180114.0,0.224751,0.054254
130,131,01mar0035o.fits,RU149,I-Johnson+Vacio,2017-03-01,F,375798.0,4.78,842902.0,332132.0,375798.0,354262.0,0.445838,0.064842
131,132,01mar0035o.fits,RU149,I-Johnson+Vacio,2017-03-01,G,426245.0,4.82,842902.0,383243.0,426245.0,401008.0,0.505687,0.065851
132,133,01mar0035o.fits,RU149,I-Johnson+Vacio,2017-03-01,149,82384.0,4.64,842902.0,78274.0,82384.0,77483.0,0.097739,0.062613
133,134,01mar0036o.fits,RU149,B-Johnson+Vacio,2017-03-01,A,78810.0,4.90,1766000.0,65199.0,99672.0,78810.0,0.044626,0.319974
134,135,01mar0036o.fits,RU149,B-Johnson+Vacio,2017-03-01,B,336829.0,4.92,1766000.0,281564.0,424479.0,336829.0,0.190730,0.311297
135,136,01mar0036o.fits,RU149,B-Johnson+Vacio,2017-03-01,C,96083.0,4.78,1766000.0,157682.0,119438.0,96083.0,0.054407,0.148115
137,138,01mar0036o.fits,RU149,B-Johnson+Vacio,2017-03-01,E,138507.0,4.87,1766000.0,118950.0,175253.0,138507.0,0.078430,0.308920
138,139,01mar0036o.fits,RU149,B-Johnson+Vacio,2017-03-01,F,105951.0,4.74,1766000.0,107085.0,233980.0,105951.0,0.059995,1.195583
139,140,01mar0036o.fits,RU149,B-Johnson+Vacio,2017-03-01,G,307288.0,4.80,1766000.0,256874.0,390489.0,307288.0,0.174002,0.323898
140,141,01mar0036o.fits,RU149,B-Johnson+Vacio,2017-03-01,149,211447.0,4.92,1766000.0,154672.0,260477.0,211447.0,0.119732,0.316993
141,142,01mar0068o.fits,RU149,B-Johnson+Vacio,2017-03-01,A,99672.0,5.60,2209000.0,65199.0,99672.0,78810.0,0.045121,0.319974
142,143,01mar0068o.fits,RU149,B-Johnson+Vacio,2017-03-01,B,424479.0,5.77,2209000.0,281564.0,424479.0,336829.0,0.192159,0.311297
143,144,01mar0068o.fits,RU149,B-Johnson+Vacio,2017-03-01,C,119438.0,5.63,2209000.0,157682.0,119438.0,96083.0,0.054069,0.148115
145,146,01mar0068o.fits,RU149,B-Johnson+Vacio,2017-03-01,E,175253.0,5.50,2209000.0,118950.0,175253.0,138507.0,0.079336,0.308920
146,147,01mar0068o.fits,RU149,B-Johnson+Vacio,2017-03-01,F,233980.0,5.42,2209000.0,107085.0,233980.0,105951.0,0.105921,1.195583
147,148,01mar0068o.fits,RU149,B-Johnson+Vacio,2017-03-01,G,390489.0,5.48,2209000.0,256874.0,390489.0,307288.0,0.176772,0.323898
148,149,01mar0068o.fits,RU149,B-Johnson+Vacio,2017-03-01,149,260477.0,5.74,2209000.0,154672.0,260477.0,211447.0,0.117916,0.316993
149,150,01mar0069o.fits,RU149,V-Johnson+Vacio,2017-03-01,A,91469.0,4.89,1552000.0,97072.5,102676.0,91469.0,0.058936,0.115450
150,151,01mar0069o.fits,RU149,V-Johnson+Vacio,2017-03-01,B,530506.0,4.80,1552000.0,564252.0,597999.0,530506.0,0.341821,0.119615
151,152,01mar0069o.fits,RU149,V-Johnson+Vacio,2017-03-01,C,102380.0,4.77,1552000.0,108428.0,114476.0,102380.0,0.065966,0.111558
153,154,01mar0069o.fits,RU149,V-Johnson+Vacio,2017-03-01,E,198021.0,4.81,1552000.0,209954.0,221886.0,198021.0,0.127591,0.113668
154,155,01mar0069o.fits,RU149,V-Johnson+Vacio,2017-03-01,F,246905.0,4.77,1552000.0,261822.0,276740.0,246905.0,0.159088,0.113951
155,156,01mar0069o.fits,RU149,V-Johnson+Vacio,2017-03-01,G,439969.0,4.77,1552000.0,469182.0,498396.0,439969.0,0.283485,0.124530
156,157,01mar0069o.fits,RU149,V-Johnson+Vacio,2017-03-01,149,171182.0,4.87,1552000.0,181562.0,191943.0,171182.0,0.110298,0.114347
157,158,01mar0070o.fits,RU149,R-Johnson+Vacio,2017-03-01,A,76582.0,4.57,1124000.0,57289.3,81934.0,76582.0,0.068133,0.093421
158,159,01mar0070o.fits,RU149,R-Johnson+Vacio,2017-03-01,B,527851.0,4.49,1124000.0,458084.0,572967.0,527851.0,0.469618,0.098488
159,160,01mar0070o.fits,RU149,R-Johnson+Vacio,2017-03-01,C,79852.0,4.46,1124000.0,68148.2,87273.0,79852.0,0.071043,0.108895
161,162,01mar0070o.fits,RU149,R-Johnson+Vacio,2017-03-01,E,189154.0,4.40,1124000.0,159312.0,204872.0,189154.0,0.168286,0.098662
162,163,01mar0070o.fits,RU149,R-Johnson+Vacio,2017-03-01,F,298547.0,4.46,1124000.0,252618.0,325350.0,298547.0,0.265611,0.106101
163,164,01mar0070o.fits,RU149,R-Johnson+Vacio,2017-03-01,G,418086.0,4.48,1124000.0,347955.0,458069.0,418086.0,0.371963,0.114909
164,165,01mar0070o.fits,RU149,R-Johnson+Vacio,2017-03-01,149,116396.0,4.60,1124000.0,96594.2,126721.0,116396.0,0.103555,0.106890
