"",ID,Imagen,Objeto,Filtro,Fecha,Estrella,Brillo,Tamano,Brillo maximo correspondiente,Promedio correspondiente,Max_brillo_fecha,Min_brillo_fecha,Brillo relativo,Error correspondiente
285,286,2058o.fits,PG1633+099,I-Johnson+Vacio,2006-04-25,C,700445.0,5.72,917442.0,855971.0,700445.0,700445.0,0.763476,0.000000
286,287,2058o.fits,PG1633+099,I-Johnson+Vacio,2006-04-25,D,0.0,0.00,917442.0,96384.8,0.0,0.0,0.000000,0.000000
287,288,2058o.fits,PG1633+099,I-Johnson+Vacio,2006-04-25,2R,71479.0,6.84,917442.0,82699.5,71479.0,71479.0,0.077911,0.000000
288,289,3042o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,A,34093.0,14.14,242999.0,34015.9,41197.0,30657.0,0.140301,0.309855
290,291,3042o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,C,187238.0,14.46,242999.0,178095.0,206952.0,173865.0,0.770530,0.185783
291,292,3042o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,D,197976.0,14.22,242999.0,69137.3,219744.0,0.0,0.814719,3.178371
292,293,3042o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,2R,31146.0,5.90,242999.0,159067.0,211372.0,31146.0,0.128173,1.133019
293,294,3043o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,A,93774.0,9.95,827258.0,96066.2,117190.0,93774.0,0.113355,0.243749
295,296,3043o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,C,661492.0,9.89,827258.0,552862.0,824176.0,82244.0,0.799620,1.341984
296,297,3043o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,D,327823.0,9.97,827258.0,115833.0,360454.0,0.0,0.396277,3.111842
297,298,3043o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,2R,103850.0,10.20,827258.0,119994.0,150291.0,103850.0,0.125535,0.387028
298,299,3044o.fits,PG1633+099,I-Johnson+Vacio,2006-04-26,A,133034.0,7.59,1154000.0,121004.0,157220.0,133034.0,0.115281,0.199878
300,301,3044o.fits,PG1633+099,I-Johnson+Vacio,2006-04-26,C,947712.0,7.04,1154000.0,855971.0,1133000.0,947712.0,0.821241,0.216465
301,302,3044o.fits,PG1633+099,I-Johnson+Vacio,2006-04-26,D,385539.0,6.93,1154000.0,96384.8,385539.0,0.0,0.334089,3.999998
302,303,3044o.fits,PG1633+099,I-Johnson+Vacio,2006-04-26,2R,92319.0,7.67,1154000.0,82699.5,105873.0,92319.0,0.079999,0.163895
303,304,3045o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,A,41197.0,10.08,271881.0,34015.9,41197.0,30657.0,0.151526,0.309855
305,306,3045o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,C,206952.0,9.92,271881.0,178095.0,206952.0,173865.0,0.761186,0.185783
306,307,3045o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,D,219744.0,9.94,271881.0,69137.3,219744.0,0.0,0.808236,3.178371
307,308,3045o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,2R,211372.0,9.83,271881.0,159067.0,211372.0,31146.0,0.777443,1.133019
308,309,3046o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,A,105089.0,8.01,919780.0,96066.2,117190.0,93774.0,0.114254,0.243749
310,311,3046o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,C,734319.0,9.14,919780.0,552862.0,824176.0,82244.0,0.798364,1.341984
311,312,3046o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,D,360454.0,9.21,919780.0,115833.0,360454.0,0.0,0.391892,3.111842
312,313,3046o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,2R,132509.0,9.40,919780.0,119994.0,150291.0,103850.0,0.144066,0.387028
313,314,3059o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,A,30657.0,11.58,225751.0,34015.9,41197.0,30657.0,0.135800,0.309855
315,316,3059o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,C,173865.0,11.29,225751.0,178095.0,206952.0,173865.0,0.770163,0.185783
316,317,3059o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,D,0.0,0.00,225751.0,69137.3,219744.0,0.0,0.000000,3.178371
317,318,3059o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,2R,179658.0,11.51,225751.0,159067.0,211372.0,31146.0,0.795824,1.133019
318,319,3060o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,A,117190.0,7.29,1034000.0,96066.2,117190.0,93774.0,0.113337,0.243749
320,321,3060o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,C,82244.0,7.29,1034000.0,552862.0,824176.0,82244.0,0.079540,1.341984
321,322,3060o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,D,0.0,0.00,1034000.0,115833.0,360454.0,0.0,0.000000,3.111842
322,323,3060o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,2R,150268.0,7.42,1034000.0,119994.0,150291.0,103850.0,0.145327,0.387028
323,324,3061o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,A,116804.0,7.34,1034000.0,96066.2,117190.0,93774.0,0.112963,0.243749
325,326,3061o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,C,824176.0,6.86,1034000.0,552862.0,824176.0,82244.0,0.797075,1.341984
326,327,3061o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,D,0.0,0.00,1034000.0,115833.0,360454.0,0.0,0.000000,3.111842
327,328,3061o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,2R,150291.0,7.29,1034000.0,119994.0,150291.0,103850.0,0.145349,0.387028
328,329,3062o.fits,PG1633+099,I-Johnson+Vacio,2006-04-26,A,157220.0,7.03,1363000.0,121004.0,157220.0,133034.0,0.115348,0.199878
330,331,3062o.fits,PG1633+099,I-Johnson+Vacio,2006-04-26,C,1133000.0,6.31,1363000.0,855971.0,1133000.0,947712.0,0.831255,0.216465
331,332,3062o.fits,PG1633+099,I-Johnson+Vacio,2006-04-26,D,0.0,0.00,1363000.0,96384.8,385539.0,0.0,0.000000,3.999998
332,333,3062o.fits,PG1633+099,I-Johnson+Vacio,2006-04-26,2R,105873.0,7.16,1363000.0,82699.5,105873.0,92319.0,0.077676,0.163895
333,334,3063o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,A,34834.0,10.09,229034.0,34015.9,41197.0,30657.0,0.152091,0.309855
335,336,3063o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,C,174985.0,10.14,229034.0,178095.0,206952.0,173865.0,0.764013,0.185783
336,337,3063o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,D,0.0,0.00,229034.0,69137.3,219744.0,0.0,0.000000,3.178371
337,338,3063o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,2R,180831.0,10.48,229034.0,159067.0,211372.0,31146.0,0.789538,1.133019
338,339,4043o.fits,PG1633+099,B-Johnson+Vacio,2006-04-29,A,38792.0,12.55,254608.0,34015.9,38792.0,25212.0,0.152360,0.399225
340,341,4043o.fits,PG1633+099,B-Johnson+Vacio,2006-04-29,C,195928.0,12.57,254608.0,178095.0,195928.0,132736.0,0.769528,0.354822
341,342,4043o.fits,PG1633+099,B-Johnson+Vacio,2006-04-29,D,0.0,0.00,254608.0,69137.3,0.0,0.0,0.000000,0.000000
342,343,4043o.fits,PG1633+099,B-Johnson+Vacio,2006-04-29,2R,196937.0,13.09,254608.0,159067.0,196937.0,133804.0,0.773491,0.396896
343,344,4044o.fits,PG1633+099,B-Johnson+Vacio,2006-04-29,A,25212.0,8.77,174525.0,34015.9,38792.0,25212.0,0.144461,0.399225
345,346,4044o.fits,PG1633+099,B-Johnson+Vacio,2006-04-29,C,132736.0,7.67,174525.0,178095.0,195928.0,132736.0,0.760556,0.354822
346,347,4044o.fits,PG1633+099,B-Johnson+Vacio,2006-04-29,D,0.0,0.00,174525.0,69137.3,0.0,0.0,0.000000,0.000000
347,348,4044o.fits,PG1633+099,B-Johnson+Vacio,2006-04-29,2R,133804.0,9.15,174525.0,159067.0,196937.0,133804.0,0.766675,0.396896
348,349,4045o.fits,PG1633+099,R-Johnson+Vacio,2006-04-29,A,66120.0,7.24,574574.0,96066.2,66120.0,66120.0,0.115077,0.000000
